"","date","gage.flow","model.flow"
"275","1984-10-01",48,58.7065435316648
"276","1984-10-02",56,62.4452577721586
"277","1984-10-03",19,47.010908767895
"278","1984-10-04",10,33.1736435099267
"279","1984-10-05",7.4,28.4356286370022
"280","1984-10-06",5.6,25.7669599455998
"281","1984-10-07",5.4,22.9944836803223
"282","1984-10-08",5.2,20.3657609798779
"283","1984-10-09",5.1,17.9753626480966
"284","1984-10-10",5.3,15.6849525197374
"285","1984-10-11",5.4,13.4208272029545
"286","1984-10-12",7.2,11.2712603813887
"287","1984-10-13",5.2,9.23841263235673
"288","1984-10-14",4.9,7.39183036430168
"289","1984-10-15",5,6.01385152203235
"290","1984-10-16",4.9,5.18967909387299
"291","1984-10-17",8.6,4.51008150337937
"292","1984-10-18",5.1,3.92216560983407
"293","1984-10-19",4.6,3.34096884243703
"294","1984-10-20",4.6,2.79311458938018
"295","1984-10-21",13,2.30703881603314
"296","1984-10-22",8.4,1.87007822028955
"297","1984-10-23",7.1,1.68731716115237
"298","1984-10-24",37,10.339947425435
"299","1984-10-25",19,19.1668113294995
"300","1984-10-26",13,15.8246893039818
"301","1984-10-27",9.5,12.1525337418025
"302","1984-10-28",6.9,9.00597485656071
"303","1984-10-29",25,28.7766254131775
"304","1984-10-30",23,23.1713822382454
"305","1984-10-31",16,16.5334677540567
"306","1984-11-01",12,11.793377282197
"307","1984-11-02",9.5,8.58659341066599
"308","1984-11-03",8,6.40082906236557
"309","1984-11-04",7.1,4.94359621898974
"310","1984-11-05",19,16.7515505265231
"311","1984-11-06",25,23.380336028338
"312","1984-11-07",17,20.5583991550945
"313","1984-11-08",11,17.2153384793826
"314","1984-11-09",8.6,14.7521521375545
"315","1984-11-10",8.1,12.8465910913854
"316","1984-11-11",11,11.8460417143376
"317","1984-11-12",9.5,11.3828917084482
"318","1984-11-13",10,10.5893427440082
"319","1984-11-14",8.3,9.81921054854985
"320","1984-11-15",12,8.99133541263043
"321","1984-11-16",8,8.08763610271682
"322","1984-11-17",6.7,7.15037539089652
"323","1984-11-18",6.1,6.29534956060495
"324","1984-11-19",75,30.4803875416847
"325","1984-11-20",72,41.1087911589178
"326","1984-11-21",32,33.3047185267282
"327","1984-11-22",21,27.563004021912
"328","1984-11-23",17,24.6375492756574
"329","1984-11-24",15,22.262836711022
"330","1984-11-25",13,20.3675517624433
"331","1984-11-26",12,18.7124062284684
"332","1984-11-27",11,17.2256738085998
"333","1984-11-28",200,18.4154823585535
"334","1984-11-29",929,1298.02038643211
"335","1984-11-30",241,449.862225107582
"336","1984-12-01",130,177.862469705305
"337","1984-12-02",80,93.8826979120153
"338","1984-12-03",83,61.781157125809
"339","1984-12-04",66,50.7253555116248
"340","1984-12-05",55,45.0004571522907
"341","1984-12-06",350,78.0160677170966
"342","1984-12-07",175,85.2846656845252
"343","1984-12-08",102,62.9267925694388
"344","1984-12-09",80,60.3471818752879
"345","1984-12-10",68,63.1376629742648
"346","1984-12-11",62,67.3380973042754
"347","1984-12-12",50,66.7313572320354
"348","1984-12-13",47,62.6433580705705
"349","1984-12-14",40,60.3723102824719
"350","1984-12-15",38,56.4647094839607
"351","1984-12-16",36,52.9908945841804
"352","1984-12-17",33,49.6804670928265
"353","1984-12-18",31,46.4137907402223
"354","1984-12-19",31,43.410357470122
"355","1984-12-20",29,40.4516436262442
"356","1984-12-21",27,37.9078017587226
"357","1984-12-22",39,44.6845530145182
"358","1984-12-23",32,41.6340583216408
"359","1984-12-24",25,36.6406354263115
"360","1984-12-25",24,33.3952257303419
"361","1984-12-26",22,30.8529932306934
"362","1984-12-27",20,29.1308054650898
"363","1984-12-28",20,27.8100222145633
"364","1984-12-29",21,26.0858285233879
"365","1984-12-30",19,24.1524202815434
