"","agency_cd","site_no","Date","Flow","Flow_cd"
"1","USGS","01673000",1984-01-01,1490,"A"
"2","USGS","01673000",1984-01-02,1150,"A"
"3","USGS","01673000",1984-01-03,1050,"A"
"4","USGS","01673000",1984-01-04,876,"A"
"5","USGS","01673000",1984-01-05,872,"A"
"6","USGS","01673000",1984-01-06,960,"A"
"7","USGS","01673000",1984-01-07,952,"A"
"8","USGS","01673000",1984-01-08,850,"A"
"9","USGS","01673000",1984-01-09,742,"A"
"10","USGS","01673000",1984-01-10,759,"A"
"11","USGS","01673000",1984-01-11,3020,"A"
"12","USGS","01673000",1984-01-12,3520,"A"
"13","USGS","01673000",1984-01-13,3420,"A"
"14","USGS","01673000",1984-01-14,1930,"A"
"15","USGS","01673000",1984-01-15,1410,"A"
"16","USGS","01673000",1984-01-16,1300,"A"
"17","USGS","01673000",1984-01-17,1190,"A"
"18","USGS","01673000",1984-01-18,1020,"A"
"19","USGS","01673000",1984-01-19,1120,"A"
"20","USGS","01673000",1984-01-20,1170,"A"
"21","USGS","01673000",1984-01-21,1050,"A"
"22","USGS","01673000",1984-01-22,941,"A"
"23","USGS","01673000",1984-01-23,939,"A"
"24","USGS","01673000",1984-01-24,781,"A"
"25","USGS","01673000",1984-01-25,1140,"A"
"26","USGS","01673000",1984-01-26,1550,"A"
"27","USGS","01673000",1984-01-27,1700,"A"
"28","USGS","01673000",1984-01-28,2030,"A"
"29","USGS","01673000",1984-01-29,2100,"A"
"30","USGS","01673000",1984-01-30,1180,"A"
"31","USGS","01673000",1984-01-31,1090,"A"
"32","USGS","01673000",1984-02-01,1340,"A"
"33","USGS","01673000",1984-02-02,1240,"A"
"34","USGS","01673000",1984-02-03,1110,"A"
"35","USGS","01673000",1984-02-04,1090,"A"
"36","USGS","01673000",1984-02-05,1210,"A"
"37","USGS","01673000",1984-02-06,1620,"A"
"38","USGS","01673000",1984-02-07,2020,"A"
"39","USGS","01673000",1984-02-08,1700,"A"
"40","USGS","01673000",1984-02-09,1360,"A"
"41","USGS","01673000",1984-02-10,1230,"A"
"42","USGS","01673000",1984-02-11,1200,"A"
"43","USGS","01673000",1984-02-12,1220,"A"
"44","USGS","01673000",1984-02-13,1190,"A"
"45","USGS","01673000",1984-02-14,1870,"A"
"46","USGS","01673000",1984-02-15,4890,"A"
"47","USGS","01673000",1984-02-16,8900,"A"
"48","USGS","01673000",1984-02-17,10700,"A"
"49","USGS","01673000",1984-02-18,9730,"A"
"50","USGS","01673000",1984-02-19,8010,"A"
"51","USGS","01673000",1984-02-20,5780,"A"
"52","USGS","01673000",1984-02-21,3650,"A"
"53","USGS","01673000",1984-02-22,2530,"A"
"54","USGS","01673000",1984-02-23,1760,"A"
"55","USGS","01673000",1984-02-24,2700,"A"
"56","USGS","01673000",1984-02-25,4010,"A"
"57","USGS","01673000",1984-02-26,4460,"A"
"58","USGS","01673000",1984-02-27,3100,"A"
"59","USGS","01673000",1984-02-28,1790,"A"
"60","USGS","01673000",1984-02-29,1830,"A"
"61","USGS","01673000",1984-03-01,1690,"A"
"62","USGS","01673000",1984-03-02,1480,"A"
"63","USGS","01673000",1984-03-03,1320,"A"
"64","USGS","01673000",1984-03-04,1230,"A"
"65","USGS","01673000",1984-03-05,1160,"A"
"66","USGS","01673000",1984-03-06,1560,"A"
"67","USGS","01673000",1984-03-07,2020,"A"
"68","USGS","01673000",1984-03-08,1880,"A"
"69","USGS","01673000",1984-03-09,1690,"A"
"70","USGS","01673000",1984-03-10,1490,"A"
"71","USGS","01673000",1984-03-11,1340,"A"
"72","USGS","01673000",1984-03-12,1240,"A"
"73","USGS","01673000",1984-03-13,1450,"A"
"74","USGS","01673000",1984-03-14,3420,"A"
"75","USGS","01673000",1984-03-15,3380,"A"
"76","USGS","01673000",1984-03-16,2790,"A"
"77","USGS","01673000",1984-03-17,2380,"A"
"78","USGS","01673000",1984-03-18,2900,"A"
"79","USGS","01673000",1984-03-19,1820,"A"
"80","USGS","01673000",1984-03-20,1110,"A"
"81","USGS","01673000",1984-03-21,1110,"A"
"82","USGS","01673000",1984-03-22,1410,"A"
"83","USGS","01673000",1984-03-23,1630,"A"
"84","USGS","01673000",1984-03-24,1440,"A"
"85","USGS","01673000",1984-03-25,2020,"A"
"86","USGS","01673000",1984-03-26,4920,"A"
"87","USGS","01673000",1984-03-27,7240,"A"
"88","USGS","01673000",1984-03-28,7990,"A"
"89","USGS","01673000",1984-03-29,10100,"A"
"90","USGS","01673000",1984-03-30,13700,"A"
"91","USGS","01673000",1984-03-31,14500,"A"
"92","USGS","01673000",1984-04-01,11900,"A"
"93","USGS","01673000",1984-04-02,9680,"A"
