"","date","mod.flow"
"1",1984-01-01,2106.0889196
"2",1984-01-02,1090.6012268
"3",1984-01-03,905.0606002
"4",1984-01-04,841.3466148
"5",1984-01-05,797.7822301
"6",1984-01-06,764.6484621
"7",1984-01-07,719.3383829
"8",1984-01-08,664.1279164
"9",1984-01-09,631.7035217
"10",1984-01-10,624.7974702
"11",1984-01-11,945.1722258
"12",1984-01-12,751.8641186
"13",1984-01-13,640.8387889
"14",1984-01-14,577.9837303
"15",1984-01-15,525.8547557
"16",1984-01-16,486.8907221
"17",1984-01-17,476.492388
"18",1984-01-18,477.0162049
"19",1984-01-19,559.6942422
"20",1984-01-20,542.5957678
"21",1984-01-21,457.0695837
"22",1984-01-22,390.9717464
"23",1984-01-23,367.7255737
"24",1984-01-24,382.3532076
"25",1984-01-25,544.4818935
"26",1984-01-26,495.5213643
"27",1984-01-27,431.2825603
"28",1984-01-28,373.9561416
"29",1984-01-29,319.7302953
"30",1984-01-30,303.523099
"31",1984-01-31,314.446497
"32",1984-02-01,310.4306737
"33",1984-02-02,297.0195753
"34",1984-02-03,285.2606669
"35",1984-02-04,277.0007724
"36",1984-02-05,242.71791361
"37",1984-02-06,246.11579106
"38",1984-02-07,262.6875868
"39",1984-02-08,254.4140254
"40",1984-02-09,244.1742756
"41",1984-02-10,237.45475194
"42",1984-02-11,218.89176462
"43",1984-02-12,191.29552031
"44",1984-02-13,181.10246469
"45",1984-02-14,1292.9034598
"46",1984-02-15,1134.5783694
"47",1984-02-16,740.887596
"48",1984-02-17,558.1924668
"49",1984-02-18,433.8433713
"50",1984-02-19,345.231273
"51",1984-02-20,316.5494949
"52",1984-02-21,323.9280015
"53",1984-02-22,321.9745026
"54",1984-02-23,469.87753
"55",1984-02-24,2366.1545448
"56",1984-02-25,1221.4175761
"57",1984-02-26,734.3461132
"58",1984-02-27,573.3074247
"59",1984-02-28,631.8302212
"60",1984-02-29,698.0181141
"61",1984-03-01,627.2165794
"62",1984-03-02,558.2442075
"63",1984-03-03,490.9089183
"64",1984-03-04,423.2767485
"65",1984-03-05,431.5661774
"66",1984-03-06,635.1879866
"67",1984-03-07,783.4044612
"68",1984-03-08,693.9266758
"69",1984-03-09,602.5990372
"70",1984-03-10,524.2093354
"71",1984-03-11,448.5677147
"72",1984-03-12,424.3432445
"73",1984-03-13,544.6675837
"74",1984-03-14,933.4885616
"75",1984-03-15,988.5319289
"76",1984-03-16,787.5038986
"77",1984-03-17,657.3902035
"78",1984-03-18,545.0783215
"79",1984-03-19,600.4879246
"80",1984-03-20,667.9753093
"81",1984-03-21,2320.6890258
"82",1984-03-22,1423.4852829
"83",1984-03-23,966.6249581
"84",1984-03-24,750.5155543
"85",1984-03-25,1075.4687656
"86",1984-03-26,3170.212233
"87",1984-03-27,1855.141102
"88",1984-03-28,2590.6546694
"89",1984-03-29,7172.718797
"90",1984-03-30,4403.85884
"91",1984-03-31,2340.5696791
"92",1984-04-01,1522.5833357
"93",1984-04-02,1252.137783
"94",1984-04-03,1175.8131218
"95",1984-04-04,1174.1363795
"96",1984-04-05,1790.4513397
"97",1984-04-06,1660.8903615
"98",1984-04-07,1273.1687086
"99",1984-04-08,1028.211624
"100",1984-04-09,991.4721678
"101",1984-04-10,2927.562076
"102",1984-04-11,2517.3676679
"103",1984-04-12,1749.526863
"104",1984-04-13,1397.3181536
"105",1984-04-14,1145.4229049
"106",1984-04-15,990.4975587
"107",1984-04-16,1103.3308335
"108",1984-04-17,1147.9153062
"109",1984-04-18,1091.5109596
"110",1984-04-19,1042.2800521
"111",1984-04-20,1003.7594565
"112",1984-04-21,886.9612884
"113",1984-04-22,745.131712
"114",1984-04-23,906.8192977
"115",1984-04-24,1243.5263139
"116",1984-04-25,1131.6077043
"117",1984-04-26,1005.2595787
"118",1984-04-27,932.5687751
"119",1984-04-28,799.53228
"120",1984-04-29,651.6028843
"121",1984-04-30,633.2684154
"122",1984-05-01,722.675514
"123",1984-05-02,746.709772
"124",1984-05-03,761.7510034
"125",1984-05-04,1629.0517389
"126",1984-05-05,1159.6275559
"127",1984-05-06,727.6299477
"128",1984-05-07,1030.6094362
"129",1984-05-08,1300.8437576
