"","agency_cd","site_no","Date","Flow","Flow_cd"
"1","USGS","03175500",1984-01-01,130,"A"
"2","USGS","03175500",1984-01-02,192,"A"
"3","USGS","03175500",1984-01-03,180,"A"
"4","USGS","03175500",1984-01-04,154,"A"
"5","USGS","03175500",1984-01-05,148,"A"
"6","USGS","03175500",1984-01-06,175,"A"
"7","USGS","03175500",1984-01-07,235,"A"
"8","USGS","03175500",1984-01-08,187,"A"
"9","USGS","03175500",1984-01-09,166,"A"
"10","USGS","03175500",1984-01-10,174,"A"
"11","USGS","03175500",1984-01-11,529,"A"
"12","USGS","03175500",1984-01-12,382,"A"
"13","USGS","03175500",1984-01-13,319,"A"
"14","USGS","03175500",1984-01-14,284,"A"
"15","USGS","03175500",1984-01-15,241,"A"
"16","USGS","03175500",1984-01-16,219,"A"
"17","USGS","03175500",1984-01-17,202,"A"
"18","USGS","03175500",1984-01-18,189,"A"
"19","USGS","03175500",1984-01-19,181,"A"
"20","USGS","03175500",1984-01-20,112,"A"
"21","USGS","03175500",1984-01-21,90,"A"
"22","USGS","03175500",1984-01-22,70,"A"
"23","USGS","03175500",1984-01-23,135,"A"
"24","USGS","03175500",1984-01-24,238,"A"
"25","USGS","03175500",1984-01-25,774,"A"
"26","USGS","03175500",1984-01-26,611,"A"
"27","USGS","03175500",1984-01-27,516,"A"
"28","USGS","03175500",1984-01-28,441,"A"
"29","USGS","03175500",1984-01-29,376,"A"
"30","USGS","03175500",1984-01-30,320,"A"
"31","USGS","03175500",1984-01-31,285,"A"
"32","USGS","03175500",1984-02-01,208,"A"
"33","USGS","03175500",1984-02-02,217,"A"
"34","USGS","03175500",1984-02-03,212,"A"
"35","USGS","03175500",1984-02-04,220,"A"
"36","USGS","03175500",1984-02-05,226,"A"
"37","USGS","03175500",1984-02-06,208,"A"
"38","USGS","03175500",1984-02-07,170,"A"
"39","USGS","03175500",1984-02-08,137,"A"
"40","USGS","03175500",1984-02-09,163,"A"
"41","USGS","03175500",1984-02-10,157,"A"
"42","USGS","03175500",1984-02-11,158,"A"
"43","USGS","03175500",1984-02-12,201,"A"
"44","USGS","03175500",1984-02-13,247,"A"
"45","USGS","03175500",1984-02-14,3840,"A"
"46","USGS","03175500",1984-02-15,2150,"A"
"47","USGS","03175500",1984-02-16,1170,"A"
"48","USGS","03175500",1984-02-17,842,"A"
"49","USGS","03175500",1984-02-18,657,"A"
"50","USGS","03175500",1984-02-19,545,"A"
"51","USGS","03175500",1984-02-20,546,"A"
"52","USGS","03175500",1984-02-21,500,"A"
"53","USGS","03175500",1984-02-22,445,"A"
"54","USGS","03175500",1984-02-23,1240,"A"
"55","USGS","03175500",1984-02-24,2620,"A"
"56","USGS","03175500",1984-02-25,2070,"A"
"57","USGS","03175500",1984-02-26,1400,"A"
"58","USGS","03175500",1984-02-27,1080,"A"
"59","USGS","03175500",1984-02-28,938,"A"
"60","USGS","03175500",1984-02-29,766,"A"
"61","USGS","03175500",1984-03-01,622,"A"
"62","USGS","03175500",1984-03-02,543,"A"
"63","USGS","03175500",1984-03-03,474,"A"
"64","USGS","03175500",1984-03-04,432,"A"
"65","USGS","03175500",1984-03-05,439,"A"
"66","USGS","03175500",1984-03-06,943,"A"
"67","USGS","03175500",1984-03-07,981,"A"
"68","USGS","03175500",1984-03-08,799,"A"
"69","USGS","03175500",1984-03-09,662,"A"
"70","USGS","03175500",1984-03-10,555,"A"
"71","USGS","03175500",1984-03-11,494,"A"
"72","USGS","03175500",1984-03-12,429,"A"
"73","USGS","03175500",1984-03-13,445,"A"
"74","USGS","03175500",1984-03-14,592,"A"
"75","USGS","03175500",1984-03-15,786,"A"
"76","USGS","03175500",1984-03-16,935,"A"
"77","USGS","03175500",1984-03-17,921,"A"
"78","USGS","03175500",1984-03-18,731,"A"
"79","USGS","03175500",1984-03-19,609,"A"
"80","USGS","03175500",1984-03-20,534,"A"
"81","USGS","03175500",1984-03-21,584,"A"
"82","USGS","03175500",1984-03-22,654,"A"
"83","USGS","03175500",1984-03-23,590,"A"
"84","USGS","03175500",1984-03-24,525,"A"
"85","USGS","03175500",1984-03-25,560,"A"
"86","USGS","03175500",1984-03-26,1310,"A"
"87","USGS","03175500",1984-03-27,1010,"A"
"88","USGS","03175500",1984-03-28,1060,"A"
"89","USGS","03175500",1984-03-29,2340,"A"
"90","USGS","03175500",1984-03-30,1740,"A"
"91","USGS","03175500",1984-03-31,1130,"A"
"92","USGS","03175500",1984-04-01,860,"A"
"93","USGS","03175500",1984-04-02,692,"A"
"94","USGS","03175500",1984-04-03,583,"A"
"95","USGS","03175500",1984-04-04,577,"A"
"96","USGS","03175500",1984-04-05,1230,"A"
"97","USGS","03175500",1984-04-06,1060,"A"
"98","USGS","03175500",1984-04-07,855,"A"
"99","USGS","03175500",1984-04-08,701,"A"
"100","USGS","03175500",1984-04-09,614,"A"
"101","USGS","03175500",1984-04-10,1060,"A"
"102","USGS","03175500",1984-04-11,908,"A"
"103","USGS","03175500",1984-04-12,756,"A"
"104","USGS","03175500",1984-04-13,643,"A"
"105","USGS","03175500",1984-04-14,618,"A"
"106","USGS","03175500",1984-04-15,1030,"A"
"107","USGS","03175500",1984-04-16,947,"A"
"108","USGS","03175500",1984-04-17,820,"A"
"109","USGS","03175500",1984-04-18,741,"A"
"110","USGS","03175500",1984-04-19,678,"A"
"111","USGS","03175500",1984-04-20,615,"A"
"112","USGS","03175500",1984-04-21,577,"A"
"113","USGS","03175500",1984-04-22,749,"A"
"114","USGS","03175500",1984-04-23,1020,"A"
"115","USGS","03175500",1984-04-24,896,"A"
"116","USGS","03175500",1984-04-25,736,"A"
"117","USGS","03175500",1984-04-26,608,"A"
"118","USGS","03175500",1984-04-27,526,"A"
"119","USGS","03175500",1984-04-28,459,"A"
"120","USGS","03175500",1984-04-29,424,"A"
"121","USGS","03175500",1984-04-30,383,"A"
"122","USGS","03175500",1984-05-01,343,"A"
"123","USGS","03175500",1984-05-02,309,"A"
"124","USGS","03175500",1984-05-03,358,"A"
"125","USGS","03175500",1984-05-04,688,"A"
"126","USGS","03175500",1984-05-05,967,"A"
"127","USGS","03175500",1984-05-06,1160,"A"
"128","USGS","03175500",1984-05-07,4310,"A"
"129","USGS","03175500",1984-05-08,3540,"A"
"130","USGS","03175500",1984-05-09,1770,"A"
"131","USGS","03175500",1984-05-10,1180,"A"
"132","USGS","03175500",1984-05-11,881,"A"
"133","USGS","03175500",1984-05-12,707,"A"
"134","USGS","03175500",1984-05-13,591,"A"
"135","USGS","03175500",1984-05-14,507,"A"
"136","USGS","03175500",1984-05-15,432,"A"
