"","agency_cd","site_no","Date","Flow","Flow_cd"
"1","USGS","02013100",1984-01-01,678,"A"
"2","USGS","02013100",1984-01-02,625,"A"
"3","USGS","02013100",1984-01-03,560,"A"
"4","USGS","02013100",1984-01-04,538,"A"
"5","USGS","02013100",1984-01-05,529,"A"
"6","USGS","02013100",1984-01-06,479,"A"
"7","USGS","02013100",1984-01-07,384,"A"
"8","USGS","02013100",1984-01-08,366,"A"
"9","USGS","02013100",1984-01-09,354,"A"
"10","USGS","02013100",1984-01-10,371,"A"
"11","USGS","02013100",1984-01-11,625,"A"
"12","USGS","02013100",1984-01-12,683,"A"
"13","USGS","02013100",1984-01-13,541,"A"
"14","USGS","02013100",1984-01-14,453,"A"
"15","USGS","02013100",1984-01-15,415,"A"
"16","USGS","02013100",1984-01-16,392,"A"
"17","USGS","02013100",1984-01-17,378,"A"
"18","USGS","02013100",1984-01-18,373,"A"
"19","USGS","02013100",1984-01-19,355,"A"
"20","USGS","02013100",1984-01-20,318,"A"
"21","USGS","02013100",1984-01-21,319,"A"
"22","USGS","02013100",1984-01-22,310,"A"
"23","USGS","02013100",1984-01-23,320,"A"
"24","USGS","02013100",1984-01-24,346,"A"
"25","USGS","02013100",1984-01-25,606,"A"
"26","USGS","02013100",1984-01-26,870,"A"
"27","USGS","02013100",1984-01-27,950,"A"
"28","USGS","02013100",1984-01-28,769,"A"
"29","USGS","02013100",1984-01-29,726,"A"
"30","USGS","02013100",1984-01-30,656,"A"
"31","USGS","02013100",1984-01-31,549,"A"
"32","USGS","02013100",1984-02-01,486,"A"
"33","USGS","02013100",1984-02-02,422,"A"
"34","USGS","02013100",1984-02-03,426,"A"
"35","USGS","02013100",1984-02-04,455,"A"
"36","USGS","02013100",1984-02-05,525,"A"
"37","USGS","02013100",1984-02-06,607,"A"
"38","USGS","02013100",1984-02-07,572,"A"
"39","USGS","02013100",1984-02-08,519,"A"
"40","USGS","02013100",1984-02-09,386,"A"
"41","USGS","02013100",1984-02-10,375,"A"
"42","USGS","02013100",1984-02-11,392,"A"
"43","USGS","02013100",1984-02-12,522,"A"
"44","USGS","02013100",1984-02-13,976,"A"
"45","USGS","02013100",1984-02-14,8060,"A"
"46","USGS","02013100",1984-02-15,6980,"A"
"47","USGS","02013100",1984-02-16,6010,"A"
"48","USGS","02013100",1984-02-17,5560,"A"
"49","USGS","02013100",1984-02-18,3990,"A"
"50","USGS","02013100",1984-02-19,1850,"A"
"51","USGS","02013100",1984-02-20,1360,"A"
"52","USGS","02013100",1984-02-21,1240,"A"
"53","USGS","02013100",1984-02-22,1090,"A"
"54","USGS","02013100",1984-02-23,2380,"A"
"55","USGS","02013100",1984-02-24,5080,"A"
"56","USGS","02013100",1984-02-25,5420,"A"
"57","USGS","02013100",1984-02-26,3690,"A"
"58","USGS","02013100",1984-02-27,2270,"A"
"59","USGS","02013100",1984-02-28,1740,"A"
"60","USGS","02013100",1984-02-29,1570,"A"
"61","USGS","02013100",1984-03-01,1340,"A"
"62","USGS","02013100",1984-03-02,1030,"A"
"63","USGS","02013100",1984-03-03,808,"A"
"64","USGS","02013100",1984-03-04,766,"A"
"65","USGS","02013100",1984-03-05,785,"A"
"66","USGS","02013100",1984-03-06,866,"A"
"67","USGS","02013100",1984-03-07,934,"A"
"68","USGS","02013100",1984-03-08,861,"A"
"69","USGS","02013100",1984-03-09,890,"A"
"70","USGS","02013100",1984-03-10,835,"A"
"71","USGS","02013100",1984-03-11,763,"A"
"72","USGS","02013100",1984-03-12,636,"A"
"73","USGS","02013100",1984-03-13,694,"A"
"74","USGS","02013100",1984-03-14,947,"A"
