,gage,gageDA,adjustedsegs,segDA,error,
19,2035000,6252,JL7_7100_7030,3.347340107,99.94645969,JL3_7020_7100 JL2_6240_6520 JL2_7110_7120 JL1_6560_6440 JL1_6760_6910 JL2_7120_6970 JL2_6440_6441 JL2_6441_6520 JL1_6770_6850 JL1_6910_6960 JL1_7080_7190 JL4_6520_6710 JL2_6850_6890 JL1_7530_7430 JL4_6710_6740 JL2_7240_7350 JL1_6940_7200 JU2_7180_7380 JL1_7190_7250 JL2_7350_7090 JL1_7200_7250 JU1_7750_7560 JU1_6880_7260 JL2_7250_7090 JL3_7090_7150 JU2_6410_6640 JU1_7630_7490 JU3_6640_6790 JU3_6790_7260 JU1_7560_7500 JU1_6300_6650 JU4_7260_7380 JU1_7690_7490 JU2_7450_7360 JU1_6340_6650 JU4_7380_7160 JU3_7490_7400 JU3_7400_7510 JU3_6650_7300 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU5_7300_7510 JU5_7510_7500 JU5_7500_7420 JU5_7420_7160 JL6_7160_7440 JL6_7440_7430 JL6_7430_7320 JL6_7320_7150 JL6_7150_6890 JL6_6890_6990 JL6_6990_6960 JL6_6960_6970 JL6_6970_6740 JL6_6740_7100 JL7_7100_7030
20,2037500,6753,JL7_7070_0001,36.11159897,99.46525101,JL1_7170_6800 JL3_7020_7100 JL2_6240_6520 JL2_7110_7120 JL1_6560_6440 JL1_6760_6910 JL2_7120_6970 JL2_6440_6441 JL2_6441_6520 JL1_6770_6850 JL1_6910_6960 JL1_7080_7190 JL4_6520_6710 JL2_6850_6890 JL1_7530_7430 JL4_6710_6740 JL2_7240_7350 JL1_6940_7200 JU2_7180_7380 JL1_7190_7250 JL2_7350_7090 JL1_7200_7250 JU1_7750_7560 JU1_6880_7260 JL2_7250_7090 JL3_7090_7150 JU2_6410_6640 JU1_7630_7490 JU3_6640_6790 JU3_6790_7260 JU1_7560_7500 JU1_6300_6650 JU4_7260_7380 JU1_7690_7490 JU2_7450_7360 JU1_6340_6650 JU4_7380_7160 JU3_7490_7400 JU3_7400_7510 JU3_6650_7300 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU5_7300_7510 JU5_7510_7500 JU5_7500_7420 JU5_7420_7160 JL6_7160_7440 JL6_7440_7430 JL6_7430_7320 JL6_7320_7150 JL6_7150_6890 JL6_6890_6990 JL6_6990_6960 JL6_6960_6970 JL6_6970_6740 JL6_6740_7100 JL7_7100_7030 JL7_7030_6800 JL7_6800_7070 JL7_7070_0001
21,2011460,60.9,JU1_6290_6590,56.80509949,6.723974565,JU1_6290_6590
22,2011470,75.6,JU1_6590_6600,60.35269928,20.1683872,JU1_6290_6590 JU1_6590_6600
24,2011500,134,JU2_6600_6810,56.80509949,57.60813471,JU1_6290_6590 JU1_6590_6600 JU2_6600_6810
26,2016000,461,JU3_6650_7300,278.8349915,39.51518623,JL1_6770_6850 JL1_7080_7190 JL2_6850_6890 JL1_7530_7430 JL2_7240_7350 JL1_6940_7200 JU2_7180_7380 JL1_7190_7250 JL2_7350_7090 JL1_7200_7250 JU1_7750_7560 JU1_6880_7260 JL2_7250_7090 JL3_7090_7150 JU2_6410_6640 JU1_7630_7490 JU3_6640_6790 JU3_6790_7260 JU1_7560_7500 JU1_6300_6650 JU4_7260_7380 JU1_7690_7490 JU2_7450_7360 JU1_6340_6650 JU4_7380_7160 JU3_7490_7400 JU3_7400_7510 JU3_6650_7300 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU5_7300_7510 JU5_7510_7500 JU5_7500_7420 JU5_7420_7160 JL6_7160_7440 JL6_7440_7430 JL6_7430_7320 JL6_7320_7150 JL6_7150_6890 JL6_6890_6990
27,2021500,329,JU3_6640_6790,188.3560028,42.74893532,JU2_6410_6640 JU3_6640_6790
28,2011800,345,JU3_6900_6950,45.8288002,86.7162898,JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950
29,2018000,329,JU3_7490_7400,112.5930023,65.77720295,JU1_7630_7490 JU1_7690_7490 JU3_7490_7400
30,2024000,647,JU3_6790_7260+JU1_6880_7260,317.9700012,50.85471388,JU2_6410_6640 JU3_6640_6790 JU3_6790_7260 JU1_6880_7260
31,2013100,612,JU2_7140_7330+JU3_6950_7330,267.8414002,56.23506533,JU2_7140_7330 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330
32,2016500,1371,JU4_7000_7300+JU3_6650_7300,386.67099,71.7964267,JU2_7450_7360 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU1_6300_6650 JU1_6340_6650 JU3_6650_7300
33,2019500,2073,JU5_7500_7420,111.8690033,94.60352131,JU1_7750_7560 JU1_7630_7490 JU1_7560_7500 JU1_6300_6650 JU1_7690_7490 JU2_7450_7360 JU1_6340_6650 JU3_7490_7400 JU3_7400_7510 JU3_6650_7300 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU5_7300_7510 JU5_7510_7500 JU5_7500_7420
34,1651000,49.4,PL0_4510_0001,52.1405983,-5.547769838,PL0_4510_0001
35,1653000,33.9,PL0_5090_0000,9.763429642,71.19932259,PL0_5090_0000
39,1653600,39.5,PL1_5060_0000,23.33239937,40.93063451,PL1_5060_0000
42,1646580,11570,PL7_4910_0000,0.546141028,99.99527968,PL7_4910_0000
43,1646580,11570,PL7_4910_0000,0.546141028,99.99527968,PL7_4910_0000
44,1639500,102,PM1_3120_3400,107.762001,-5.649020588,PM1_3120_3400
46,1644000,332,PM3_4670_4660,210.779007,36.51234729,PM2_4860_4670 PM3_4670_4660
48,1643000,817,PM1_3710_4040,89.04679871,89.10075903,PM1_3710_4040
49,1638500,9651,PM7_4290_4200+PM1_4430_4200,99.42392683,98.969807,PM1_3510_4000 PS1_4790_4830 PM1_4000_4290 PU0_3000_3090 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM1_4430_4200
50,1646500,11560,PM7_4820_0001,0.546553016,99.99527203,PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001
51,1646500,11560,PM7_4820_0001,0.546553016,99.99527203,PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001
52,1646502,11560,PM7_4820_0001,0.546553016,99.99527203,PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001
53,1646502,11560,PM7_4820_0001,0.546553016,99.99527203,PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001
56,1627500,212,PS2_6490_6420,63.79270172,69.90910296,PS2_6730_6660 PS2_6660_6490 PS2_6490_6420
57,1626850,148,PS2_6660_6490,21.3253994,85.59094635,PS2_6730_6660 PS2_6660_6490
58,1633000,508,PS3_5100_5080,264.7120056,47.89133748,PS2_5550_5560 PS2_5560_5100 PS3_5100_5080
59,1634000,770,PS2_5560_5100,299.0950012,61.15649335,PS2_5550_5560 PS2_5560_5100 PS3_5100_5080
60,1622000,376,PS3_6161_6280,9.024299622,97.59992031,PS0_6150_6160 PS3_5990_6161 PS0_6160_6161 PS3_6161_6280
61,1628500,1079,PS4_6360_5840,21.93300056,97.96728447,PS2_6730_6660 PS0_6150_6160 PS2_6660_6490 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840
62,1636500,3041,PS5_4380_4370,329.9840088,89.14883233,PS1_4790_4830 PS2_6730_6660 PS2_5550_5560 PS1_4830_5080 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840 PS4_5840_5240 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370
63,1631000,1634,PS5_5240_5200,262.2600098,83.9498158,PS2_6730_6660 PS0_6150_6160 PS2_6660_6490 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840 PS4_5840_5240 PS5_5240_5200
64,1629500,1372,PS4_5840_5240,297.394989,78.32398039,PS2_6730_6660 PS0_6150_6160 PS2_6660_6490 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840 PS4_5840_5240
66,1597500,106,PU1_4190_4300,56.27759933,46.90792516,PU1_3850_4190 PU1_4190_4300
68,1616500,273,PU2_4220_3900,219.2070007,19.70439535,PU2_4730_4220 PU2_4220_3900
69,1619500,281,PU2_3090_4050,186.8500061,33.50533591,PU0_3000_3090 PU2_3090_4050
71,1607500,103,PU2_6050_5190,112.5940018,-9.314564854,PU2_6050_5190
72,1608000,277,PU2_5190_4310,176.8000031,36.17328408,PU2_6050_5190 PU2_5190_4310
73,1614500,494,PU3_3290_3390,23.48329926,95.2462957,PU2_2790_3290 PU3_2510_3290 PU3_3290_3390
74,1601500,247,PU3_3680_3890,64.2410965,73.99145891,PU2_3140_3680 PU3_3680_3890
75,1611500,675,PU3_3860_3610,60.60020065,91.0221925,PU2_4340_3860 PU3_4280_3860 PU3_3860_3610
76,1603000,877,PU4_3890_3990,2.435009956,99.72234778,PU2_3140_3680 PU1_3940_3970 PU3_3680_3890 PU1_3850_4190 PU1_4840_4760 PU1_4190_4300 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990
77,1608500,1461,PU4_4310_4210,273.4670105,81.28220325,PU2_6050_5190 PU0_6080_5620 PU2_5190_4310 PU1_5520_5210 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210
78,1598500,406,PU3_4450_4440+PU1_4300_4440,155.6532946,61.6617501,PU1_4840_4760 PU2_4720_4750 PU1_4760_4450 PU2_4750_4450 PU3_4450_4440 PU1_3850_4190 PU1_4190_4300 PU1_4300_4440
79,1606500,651,PU3_5210_5050+PU1_5380_5050,123.6958008,80.99910894,PU1_5520_5210 PU2_5700_5210 PU3_5210_5050 PU0_6080_5620 PU1_5820_5380 PU0_5620_5380 PU1_5380_5050
