"","Date","agency_cd","site_no","Flow","Flow_cd","mod.flow"
"1",1984-01-01,"USGS","01658500",7,"A",32.48687708
"2",1984-01-02,"USGS","01658500",6.8,"A",28.77968987
"3",1984-01-03,"USGS","01658500",6.6,"A",26.46846259
"4",1984-01-04,"USGS","01658500",6.8,"A",24.322190946
"5",1984-01-05,"USGS","01658500",7,"A",22.272606137
"6",1984-01-06,"USGS","01658500",7.2,"A",20.353714525
"7",1984-01-07,"USGS","01658500",6.2,"A",18.575300514
"8",1984-01-08,"USGS","01658500",5.6,"A",16.975555062
"9",1984-01-09,"USGS","01658500",5,"A",15.524719893
"10",1984-01-10,"USGS","01658500",7,"A",14.59151274
"11",1984-01-11,"USGS","01658500",29,"A",13.516542494
"12",1984-01-12,"USGS","01658500",11,"A",12.157745985
"13",1984-01-13,"USGS","01658500",7,"A",11.185226708
"14",1984-01-14,"USGS","01658500",8,"A",10.298809589
"15",1984-01-15,"USGS","01658500",8.5,"A",9.47408551
"16",1984-01-16,"USGS","01658500",7,"A",8.824355333
"17",1984-01-17,"USGS","01658500",6.6,"A",8.116724076
"18",1984-01-18,"USGS","01658500",6.9,"A",7.56272894
"19",1984-01-19,"USGS","01658500",6.2,"A",7.130611093
"20",1984-01-20,"USGS","01658500",5.6,"A",6.544873148
"21",1984-01-21,"USGS","01658500",5.8,"A",6.052235258
"22",1984-01-22,"USGS","01658500",5.7,"A",5.573472872
"23",1984-01-23,"USGS","01658500",5.9,"A",5.165044219
"24",1984-01-24,"USGS","01658500",6,"A",4.979003981
"25",1984-01-25,"USGS","01658500",9,"A",5.383551045
"26",1984-01-26,"USGS","01658500",14,"A",6.416836364
"27",1984-01-27,"USGS","01658500",15,"A",6.683640851
"28",1984-01-28,"USGS","01658500",11,"A",6.099344151
"29",1984-01-29,"USGS","01658500",10,"A",5.272418201
"30",1984-01-30,"USGS","01658500",8.6,"A",4.721280648
"31",1984-01-31,"USGS","01658500",7.5,"A",4.601849867
"32",1984-02-01,"USGS","01658500",6.7,"A",4.291648714
"33",1984-02-02,"USGS","01658500",5.7,"A",3.864337908
"34",1984-02-03,"USGS","01658500",6.6,"A",3.920066504
"35",1984-02-04,"USGS","01658500",10,"A",4.89279355
"36",1984-02-05,"USGS","01658500",19,"A",5.923429936
"37",1984-02-06,"USGS","01658500",15,"A",4.955041483
"38",1984-02-07,"USGS","01658500",9.6,"A",4.263212352
"39",1984-02-08,"USGS","01658500",7.4,"A",3.82661219
"40",1984-02-09,"USGS","01658500",7,"A",3.493808286
"41",1984-02-10,"USGS","01658500",7.1,"A",3.204590681
"42",1984-02-11,"USGS","01658500",7.2,"A",3.631219283
"43",1984-02-12,"USGS","01658500",7.4,"A",3.548748984
"44",1984-02-13,"USGS","01658500",7.2,"A",3.294043916
"45",1984-02-14,"USGS","01658500",148,"A",12.460033536
"46",1984-02-15,"USGS","01658500",44,"A",19.686356785
"47",1984-02-16,"USGS","01658500",26,"A",15.350323676
"48",1984-02-17,"USGS","01658500",17,"A",9.979650916
"49",1984-02-18,"USGS","01658500",22,"A",9.94239181
"50",1984-02-19,"USGS","01658500",15,"A",8.047310711
"51",1984-02-20,"USGS","01658500",11,"A",7.029960247
"52",1984-02-21,"USGS","01658500",9,"A",6.337639718
"53",1984-02-22,"USGS","01658500",7.2,"A",5.799976347
"54",1984-02-23,"USGS","01658500",13,"A",6.255634457
"55",1984-02-24,"USGS","01658500",29,"A",25.912309415
"56",1984-02-25,"USGS","01658500",15,"A",13.30526945
"57",1984-02-26,"USGS","01658500",11,"A",8.926409394
"58",1984-02-27,"USGS","01658500",9.6,"A",7.356299461
"59",1984-02-28,"USGS","01658500",24,"A",16.184327063
"60",1984-02-29,"USGS","01658500",17,"A",12.849612327
"61",1984-03-01,"USGS","01658500",10,"A",9.841834008
"62",1984-03-02,"USGS","01658500",9,"A",8.479176938
"63",1984-03-03,"USGS","01658500",8,"A",7.694935202
"64",1984-03-04,"USGS","01658500",7,"A",7.1691477
"65",1984-03-05,"USGS","01658500",7.9,"A",7.316090616
"66",1984-03-06,"USGS","01658500",13,"A",9.042849987
"67",1984-03-07,"USGS","01658500",10,"A",7.985111239
"68",1984-03-08,"USGS","01658500",8.2,"A",7.299442948
"69",1984-03-09,"USGS","01658500",9.4,"A",8.780685516
"70",1984-03-10,"USGS","01658500",8.6,"A",8.640734763
"71",1984-03-11,"USGS","01658500",8.8,"A",7.065841555
"72",1984-03-12,"USGS","01658500",8.3,"A",6.277809023
"73",1984-03-13,"USGS","01658500",20,"A",15.194388005
"74",1984-03-14,"USGS","01658500",27,"A",25.943098301
"75",1984-03-15,"USGS","01658500",19,"A",18.327963171
"76",1984-03-16,"USGS","01658500",14,"A",11.37455976
"77",1984-03-17,"USGS","01658500",11,"A",9.086736113
"78",1984-03-18,"USGS","01658500",9.4,"A",8.036394714
"79",1984-03-19,"USGS","01658500",8,"A",7.333666619
"80",1984-03-20,"USGS","01658500",7.1,"A",6.759743632
"81",1984-03-21,"USGS","01658500",21,"A",14.214149028
"82",1984-03-22,"USGS","01658500",15,"A",11.624760449
"83",1984-03-23,"USGS","01658500",11,"A",8.69141397
"84",1984-03-24,"USGS","01658500",7.7,"A",7.440710899
"85",1984-03-25,"USGS","01658500",10,"A",10.821456283
"86",1984-03-26,"USGS","01658500",132,"A",83.62313018
"87",1984-03-27,"USGS","01658500",40,"A",36.85321832
"88",1984-03-28,"USGS","01658500",100,"A",34.940655768
"89",1984-03-29,"USGS","01658500",273,"A",423.38717064
"90",1984-03-30,"USGS","01658500",35,"A",112.53271626
