"Facility_hydroid","Facility","Use_Type","Locality","FIPS_code","dh_geofield"
66848,"Mt Zion Rustic Public Water System","municipal","Charles City",51036,"POINT (-76.934207788889 37.304039277778)"
66849,"Stony Creek Town of Municipal Water Supply System","municipal","Sussex",51183,"POINT (-77.39755555 36.9428333)"
66850,"Bexley Mobile Home Park","municipal","Prince George",51149,"POINT (-77.3604592 37.0781163)"
66851,"Lang Farm","agriculture","Accomack",51001,"POINT (-77.1478423 38.9155524)"
66852,"Northumberland Shores","commercial","Northumberland",51133,"POINT (-76.5115039 38.0190439)"
66853,"Williamsburg Pottery Factory","commercial","James City",51095,"POINT (-76.750611111 37.347833333)"
66856,"Woodruff Public Water System","municipal","King William",51101,"POINT (-77.1433333333 37.82195277)"
66861,"Riverside Shore Memorial Hospital","commercial","Northampton",51131,"POINT (-75.8626404 37.4751204)"
66862,"Holly Grove Farm","irrigation","Northampton",51131,"POINT (-75.879707277778 37.495171158333)"
66863,"VDOC -Southampton Correctional Complex","municipal","Southampton",51175,"POINT (-77.2553557 36.7223386)"
66864,"JCSA -Glenwood Acres Subdivision W 30","municipal","James City",51095,"POINT (-76.76277 37.3925)"
66865,"Raven Run Fieldshire","municipal","Hanover",51085,""
66866,"Holly Ridge","municipal","Hanover",51085,"POINT (-77.388275 37.638968)"
66871,"Tankard Farm","irrigation","Northampton",51131,"POINT (-75.968813888889 37.223769444444)"
66872,"Silver Beach Farm","agriculture","Northampton",51131,"POINT (-75.953694 37.479206)"
66874,"Roberts Farm","agriculture","Northampton",51131,""
66875,"Oak Ridge Water System","municipal","Suffolk",51800,""
66876,"Water Country USA","commercial","York",51199,""
66877,"Chickahominy Power Water Well System","manufacturing","Charles City",51036,""
66878,"Rew Farm","irrigation","Accomack",51001,"POINT (-75.6197277777 37.767797222)"
66880,"Belle Haven Country Club","commercial","Fairfax County",51059,"POINT (-77.0603585 38.7896499)"
66882,"BASF Corporation","manufacturing","James City",51095,"POINT (-76.6089847 37.2070067)"
66883,"KMX Chemical Corporation","agriculture","Accomack",51001,"POINT (-75.5385579 37.9772779)"
66884,"Northwest River/Western Branch Systems","municipal","Chesapeake",51550,"POINT (-76.462 36.7718888)"
66885,"Bayview Community","municipal","Northampton",51131,"POINT (-75.964388 37.2739166)"
66886,"Colonies","municipal","New Kent",51127,"POINT (-76.901622222 37.399491666)"
66887,"Woodhaven Water Company","municipal","New Kent",51127,"POINT (-77.123701 37.491024)"
66888,"The Tradition Golf Club at Broad Bay","commercial","Virginia Beach",51810,"POINT (-76.0480149 36.88732)"
66889,"Drewryville","municipal","Southampton",51175,"POINT (-77.3036857 36.7116927)"
66890,"Barrett Learning Center","municipal","Hanover",51085,"POINT (-77.3705271 37.8214958)"
66891,"Lightfoot Water Supply System","municipal","York",51199,""
66892,"Kilmer's Point","municipal","Middlesex",51119,"POINT (-76.57676 37.657303)"
66893,"Princess Anne Country Club","commercial","Virginia Beach",51810,"POINT (-75.9830558 36.8656334)"
66894,"Lake Wright Resort and Golf Course","commercial","Norfolk",51710,""
66895,"Lawnes Point","municipal","Isle of Wight",51093,"POINT (-76.677775 37.092543)"
66897,"Bennetts Creek Wholesale Nursery","irrigation","Suffolk",51800,""
66898,"Hanover Urban Water System","municipal","Hanover",51085,""
66899,"Riverside Shore Rehabilitation Center","commercial","Accomack",51001,"POINT (-75.6227196 37.7593932)"
66901,"Spring Meadows and Meadowgate Water System","municipal","Hanover",51085,"POINT (-77.345833333 37.6125)"
66902,"Bleak Hall","municipal","Westmoreland",51193,"POINT (-76.97506 38.207083)"
66904,"Tartan (Kingsland & Green)","municipal","Lancaster",51103,"POINT (-76.4191143 37.6615258)"
66906,"Cape Charles Municipal Corporation","municipal","Northampton",51131,"POINT (-76.0149372 37.2674313)"
66907,"S L Hines Water System","municipal","Suffolk",51800,""
66908,"VIASYSTEMS","manufacturing","Henrico",51087,""
66909,"Mathews Farm","agriculture","Accomack",51001,"POINT (-75.553517930556 37.90198636666)"
66910,"Virginia Renewable Power - Portsmouth, LLC","fossilpower","Portsmouth",51740,"POINT (-76.352838 36.869791)"
66912,"Hogneck Farm","irrigation","Accomack",51001,"POINT (-75.547344444444 37.82629722222)"
66913,"Suffolk City of Water Supply System","municipal","Suffolk",51800,""
66914,"White Tail Park","commercial","Southampton",51175,"POINT (-76.840503 36.889146)"
66915,"Oceana Plant","manufacturing","Virginia Beach",51810,"POINT (-76.0190575 36.8389521)"
66916,"Weems Public Water System","municipal","Lancaster",51103,"POINT (-76.4402 37.6769819)"
66917,"Midwood Farm","irrigation","Northampton",51131,"POINT (-75.968569444444 37.195305555555)"
