"","Date","agency_cd","site_no","Flow","Flow_cd","mod.flow"
"1",1984-01-01,"USGS","01665500",232,"A",473.0481082
"2",1984-01-02,"USGS","01665500",178,"A",324.9609517
"3",1984-01-03,"USGS","01665500",165,"A",298.6250199
"4",1984-01-04,"USGS","01665500",156,"A",281.6135254
"5",1984-01-05,"USGS","01665500",150,"A",266.4504595
"6",1984-01-06,"USGS","01665500",143,"A",254.856763
"7",1984-01-07,"USGS","01665500",135,"A",247.1663237
"8",1984-01-08,"USGS","01665500",125,"A",233.55020621
"9",1984-01-09,"USGS","01665500",118,"A",219.77620791
"10",1984-01-10,"USGS","01665500",168,"A",208.32622813
"11",1984-01-11,"USGS","01665500",227,"A",207.54924012
"12",1984-01-12,"USGS","01665500",149,"A",188.41964913
"13",1984-01-13,"USGS","01665500",136,"A",177.42541504
"14",1984-01-14,"USGS","01665500",136,"A",170.4265442
"15",1984-01-15,"USGS","01665500",128,"A",162.27736379
"16",1984-01-16,"USGS","01665500",120,"A",153.79548072
"17",1984-01-17,"USGS","01665500",114,"A",145.84355307
"18",1984-01-18,"USGS","01665500",114,"A",139.3242998
"19",1984-01-19,"USGS","01665500",108,"A",136.64291241
"20",1984-01-20,"USGS","01665500",96,"A",126.11492682
"21",1984-01-21,"USGS","01665500",100,"A",118.66136264
"22",1984-01-22,"USGS","01665500",105,"A",112.29214714
"23",1984-01-23,"USGS","01665500",115,"A",106.43779134
"24",1984-01-24,"USGS","01665500",122,"A",102.80462216
"25",1984-01-25,"USGS","01665500",196,"A",101.24535274
"26",1984-01-26,"USGS","01665500",140,"A",108.3126049
"27",1984-01-27,"USGS","01665500",123,"A",118.09556149
"28",1984-01-28,"USGS","01665500",116,"A",122.24409294
"29",1984-01-29,"USGS","01665500",111,"A",116.4160595
"30",1984-01-30,"USGS","01665500",107,"A",107.13659717
"31",1984-01-31,"USGS","01665500",102,"A",101.4693732
"32",1984-02-01,"USGS","01665500",96,"A",96.99060154
"33",1984-02-02,"USGS","01665500",93,"A",91.55510092
"34",1984-02-03,"USGS","01665500",112,"A",89.52029632
"35",1984-02-04,"USGS","01665500",132,"A",93.85275983
"36",1984-02-05,"USGS","01665500",157,"A",116.87572721
"37",1984-02-06,"USGS","01665500",139,"A",109.19082595
"38",1984-02-07,"USGS","01665500",118,"A",98.78418897
"39",1984-02-08,"USGS","01665500",109,"A",91.20132494
"40",1984-02-09,"USGS","01665500",107,"A",85.43890595
"41",1984-02-10,"USGS","01665500",103,"A",81.13863681
"42",1984-02-11,"USGS","01665500",107,"A",88.68815303
"43",1984-02-12,"USGS","01665500",109,"A",101.92439603
"44",1984-02-13,"USGS","01665500",115,"A",109.23450329
"45",1984-02-14,"USGS","01665500",4010,"A",338.81563755
"46",1984-02-15,"USGS","01665500",1850,"A",1120.8410553
